,line_text
461,hi michael scott charge dunder mifflin paper product scranton pennsylvania also founder diversity tomorrow today almost abraham lincoln said racist attack north principle damn okay sorry laugh please laugh time dwight bugging let give countdown ready three two one
462,take six
463,let god three two one hi michael scott charge dunder mifflin paper product scranton keep camera steady please people gonna get sea sick watching ready three two one
464,action
465,please say anything sigh oh god
466,action light camera action whenever ready
467,could count please dwight three two one hi michael scott charge dunder mifflin paper product scranton pennsylvania also founder diversity tomorrow today almost abraham lincoln said racist attack north principle carry workplace
468,cut
469,wandering around room diversity exercise want push want push cause breakthrough right around corner something going pop something going pop party feel like someone else skin feel like different race feel pretty bad let come
470,yeah marched washington back day went washington monument lincoln memorial u mint congressman talked class pretty cool
471,talk like talking race feeling could get kind volatile keep going camera show devon sitting outside west nile
472,um going
473,people treat u like race forehead guess race
474,ah good good luck good go index card writes another race
475,oh man woman
476,yes yes
477,god
478,embarrassing fair
479,fair
480,try take dwight asian race switch one wrote
481,thank thank much
482,go get em
483,good clear throat hunter gather culture
484,
485,live near harbor ocean
486,
487,inland mountainous
488,
489,nomadic
490,
491,okay okay okay okay think got um treated foreign way great deal prejudice one tribe africa piggy whatever
492,
493,human right pam hesitates
494,dwight new race dwight could french
495,take dwight race forehead damn jim funny jim
496,oh okay go breakthrough radar happened happened
497,anything race
498,okay right let keep track keep point let
499,one time ethnic festival scranton one time
500,try googi googi lowering voice try googi googi high pitched voice try googi googi try kelly slap michael right right yes great get kelly thank clap get looking whole time trying cry oh man thrive know like rickles acid man right
501,um slap martin luther king
502,huh
503,card
504,think wearing card
505,good good got happening right let keep rolling let round
506,pam pamela pam elama ding dong making copy
507,making copy
508,let go message stat lot lot information superhighway
509,nothing new
510,lay
511,nothing new
512,said earlier
513,oh want repeat message gave nod toward camera
514,sacred thing care provide worker family give money give food directly money heal today charge picking great new health care plan right make doctor um yes way yeah like specialist
515,health plan decided
516,going go best jan going go one acupuncture therapeutic massage know work
517,wait acupuncture none plan acupuncture looked closely michael
518,think look closely enough gold plan
519,gold plan even plan
520,well recommend good
521,michael
522,gotta crack thing open
523,know whole reason save money need pick provider choose cheapest plan
524,well kind tough assignment um popular decision around old orifice
525,job
526,well suicide mission know
527,michael maybe mean
528,
529,sometimes manager like deliver bad news employee time
530,scoff ever done
531,right
532,last night trading spouse seen
533,life
534,interesting like
535,try sometime
536,wow would watch tv
537,laugh problem
538,jimbo ha haaaaa ah
539,decision need made unbelievably busy day going let pick health care plan office explain co worker
540,gosh
541,yeah
542,great offer thank really think concentrating sale
543,really
544,yeah think kind task going know would great
545,time michael asks anything tell dwight
546,yes man
547,right job advance higher company would career uh well career throw front train
548,ok first let go parameter many people fire
549,ah none picking health care plan
550,ok table time two need office think conference room fine
551,use conference room temporary workspace
552,self yes office camera bigger
553,nope cannot use
554,ok take back workspace
555,temporary workspace use
556,thank
557,dwight fails strike two good ah giving second chance succeeds know one prouder groomed made today unless fails talked already
558,job slashed benefit bone saved company money harsh maybe believe coddling people
559,wild health care wild health care ow hurt leg run lion eats dead well dead lion dead
560,dental vision deductible
561,dunder mifflin pam
562,phone pam michael scott trick
563,
564,oh office swamped work ear busy busy busy step away wanted check see everybody everybody cool
565,actually people really unhappy um dwight sent around memo people freaking cause
566,pam whoa whoa sorry sorry gotta go getting call
567,
568,make call finish work know uh let anybody office condition today busy swamped know unreachable incommunicado capisce
569,ok
570,thank oh gah go gotta go take
571,still one calling
572,dwight
573,uh knock please please knock office
574,say workspace
575,thing
576,thing write workspace
577,knock please sign respect superior
578,superior
579,oh gee office
580,thought workspace
581,ok dwight really charge picking health care plan
582,yes decision final
583,ridiculously awful plan cut everything
584,aww time tough pam deal
585,cut
586,sure
587,well work want good insurance
588,need never sick perfect immune system
589,ok well never sick antibody
590,need superior gene schrute superior brain power concentration raise lower cholesterol
591,would want raise cholesterol
592,lower
593,literally come office
594,got come sometime go bathroom
595,kevin inappropriate
596,michael talk
597,ah uh would love really busy rain check
598,michael michael please talk memo
599,ah memo
600,dwight health care memo told
601,good plan
602,great plan save company fortune
603,like pay decrease
604,michael made huge cut
605,cut wow dwight make cut
606,yeah said
607,know said nothing specific busy go find people plan work ok
608,handle
609,ok right feel good right good plus good news today end day big surprise ok hang see end day right
610,good
611,ridiculous talk
612,
613,let walk pathetic
614,guy talking
615,nothing kevin
616,know surprise hell matter point unhappy anymore thinking wow bos really care surprise cool great guy love
617,ok everyone gather round step forward brought attention unhappy plan like fill write disease might want covered see
618,ok know dwight write disease confidential
619,ok well say write name fill leave anonymous write disease covered sound fair good office
620,workspace
621,know come going little mission operation surprise
622,going
623,um headed part busy day know meeting giggle find knob
624,basically want something nice employee atlantic city ok thing send bus right free pick everybody head get hotel room comped give pile chip food everything kind inclusive free kind weekend
625,yeah yeah yeah
626,wait writing write ebola mad cow disease right cause suffering
627,inventing new disease
628,oh great
629,let say teeth turn liquid drip back throat would call
630,thought said inventing disease spontaneous dental hydroplosion
631,nice
632,thank
633,cell phone calling ask little favoroonie friend um trying give troop around little bit boost thinking maybe could take take spin big ride
634,say ft drop
635,free fall
636,uh right well get mine got laser tag something
637,ok know surprise worried way see thrive world improv whose line anyway
638,damnit damnit jim
639,right mad want know punish
640,talking
641,uh someone forged uh medical information felony
642,ok whoa cause pretty intense accusation know fake
643,uh leprosy flesh eating bacteria hot dog finger government created killer nanorobot infection
644,
645,absolutely
646,yes
647,
648,know fine know interview every one perpetrator make known time health care coverage one
649,killer nanorobots
650,epidemic
